"ISO 639-2","French Name of Language","All French Names","All English Names","ISO 639-1"
"cho","choctaw","choctaw","Choctaw",
"zha","chuang","zhuang; chuang","Zhuang; Chuang","za"
"chk","chuuk","chuuk","Chuukese",
"cop","copte","copte","Coptic",
"kor","coréen","coréen","Korean","ko"
"cor","cornique","cornique","Cornish","kw"
"cos","corse","corse","Corsican","co"
"cus","couchitiques, autres langues","couchitiques, autres langues","Cushitic (Other)",
"cre","cree","cree","Cree","cr"
"hat","créole haïtien","haïtien; créole haïtien","Haitian; Haitian Creole","ht"
"cpe","créoles et pidgins anglais, autres","créoles et pidgins anglais, autres","Creoles and pidgins, English based (Other)",
"crp","créoles et pidgins divers","créoles et pidgins divers","Creoles and pidgins (Other)",
"cpf","créoles et pidgins français, autres","créoles et pidgins français, autres","Creoles and pidgins, French-based (Other)",
"cpp","créoles et pidgins portugais, autres","créoles et pidgins portugais, autres","Creoles and pidgins, Portuguese-based (Other)",
"scr/hrv","croate","croate","Croatian","hr"
"dak","dakota","dakota","Dakota",
"dan","danois","danois","Danish","da"
"dar","dargwa","dargwa","Dargwa",
"day","dayak, langues","dayak, langues","Land Dayak languages",
"del","delaware","delaware","Delaware",
"zza","dimili","zaza; dimili; dimli; kirdki; kirmanjki; zazaki","Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki",
"zza","dimli","zaza; dimili; dimli; kirdki; kirmanjki; zazaki","Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki",
"din","dinka","dinka","Dinka",
"dyu","dioula","dioula","Dyula",
"mis","diverses, langues","diverses, langues","Miscellaneous languages",
"chg","djaghataï","djaghataï","Chagatai",
"doi","dogri","dogri","Dogri",
"dgr","dogrib","dogrib","Dogrib",
"dua","douala","douala","Duala",
"dra","dravidiennes, autres langues","dravidiennes, autres langues","Dravidian (Other)",
"dzo","dzongkha","dzongkha","Dzongkha","dz"
"sco","écossais","écossais","Scots",
"bin","edo","bini; edo","Bini; Edo",
"efi","efik","efik","Efik",
"egy","égyptien","égyptien","Egyptian (Ancient)",
"eka","ekajuk","ekajuk","Ekajuk",
"elx","élamite","élamite","Elamite",
"myv","erza","erza","Erzya",
"den","esclave (athapascan)","esclave (athapascan)","Slave (Athapascan)",
"spa","espagnol","espagnol; castillan","Spanish; Castilian","es"
"epo","espéranto","espéranto","Esperanto","eo"
"est","estonien","estonien","Estonian","et"
"ewe","éwé","éwé","Ewe","ee"
"ewo","éwondo","éwondo","Ewondo",
"fan","fang","fang","Fang",
"fat","fanti","fanti","Fanti",
"fao","féroïen","féroïen","Faroese","fo"
"fij","fidjien","fidjien","Fijian","fj"
"fil","filipino","filipino; pilipino","Filipino; Pilipino",
"fiu","finno-ougriennes, autres langues","finno-ougriennes, autres langues","Finno-Ugrian (Other)",
"fin","finnois","finnois","Finnish","fi"
"dut/nld","flamand","néerlandais; flamand","Dutch; Flemish","nl"
"fon","fon","fon","Fon",
"fre/fra","français","français","French","fr"
"fro","français ancien (842-ca.1400)","français ancien (842-ca.1400)","French, Old (842-ca.1400)",
"frm","français moyen (1400-1600)","français moyen (1400-1600)","French, Middle (ca.1400-1600)",
"fur","frioulan","frioulan","Friulian",
"fry","frison occidental","frison occidental","Western Frisian","fy"
"frs","frison oriental","frison oriental","Eastern Frisian",
"frr","frison septentrional","frison septentrional","Northern Frisian",
"gaa","ga","ga","Ga",
"gla","gaélique","gaélique; gaélique écossais","Gaelic; Scottish Gaelic","gd"
"gla","gaélique écossais","gaélique; gaélique écossais","Gaelic; Scottish Gaelic","gd"
"car","galibi","karib; galibi; carib","Galibi Carib",
"glg","galicien","galicien","Galician","gl"
"orm","galla","galla","Oromo","om"
"wel/cym","gallois","gallois","Welsh","cy"
"lug","ganda","ganda","Ganda","lg"
"gay","gayo","gayo","Gayo",
"gba","gbaya","gbaya","Gbaya",
"geo/kat","géorgien","géorgien","Georgian","ka"
"gem","germaniques, autres langues","germaniques, autres langues","Germanic (Other)",
"gon","gond","gond","Gondi",
"gor","gorontalo","gorontalo","Gorontalo",
"got","gothique","gothique","Gothic",
"guj","goudjrati","goudjrati","Gujarati","gu"
"grb","grebo","grebo","Grebo",
"grc","grec ancien (jusqu'à 1453)","grec ancien (jusqu'à 1453)","Greek, Ancient (to 1453)",
"gre/ell","grec moderne (après 1453)","grec moderne (après 1453)","Greek, Modern (1453-)","el"
"kal","groenlandais","groenlandais","Kalaallisut; Greenlandic","kl"
"grn","guarani","guarani","Guarani","gn"
"gez","guèze","guèze","Geez",
"gwi","gwich´in","gwich´in","Gwich´in",
"hai","haida","haida","Haida",
"hat","haïtien","haïtien; créole haïtien","Haitian; Haitian Creole","ht"
"hau","haoussa","haoussa","Hausa","ha"
"hsb","haut-sorabe","haut-sorabe","Upper Sorbian",
"haw","hawaïen","hawaïen","Hawaiian",
"heb","hébreu","hébreu","Hebrew","he"
"her","herero","herero","Herero","hz"
"hil","hiligaynon","hiligaynon","Hiligaynon",
"him","himachali","himachali","Himachali",
"hin","hindi","hindi","Hindi","hi"
"hmo","hiri motu","hiri motu","Hiri Motu","ho"
"hit","hittite","hittite","Hittite",
"hmn","hmong","hmong","Hmong",
"hun","hongrois","hongrois","Hungarian","hu"
"hup","hupa","hupa","Hupa",
"sah","iakoute","iakoute","Yakut",
"iba","iban","iban","Iban",
"ido","ido","ido","Ido","io"
"ibo","igbo","igbo","Igbo","ig"
"ijo","ijo, langues","ijo, langues","Ijo languages",
"ilo","ilocano","ilocano","Iloko",
"und","indéterminée","indéterminée","Undetermined",
"cai","indiennes d'Amérique centrale, autres langues","indiennes d'Amérique centrale, autres langues","Central American Indian (Other)",
"nai","indiennes d'Amérique du Nord, autres langues","indiennes d'Amérique du Nord, autres langues","North American Indian",
"sai","indiennes d'Amérique du Sud, autres langues","indiennes d'Amérique du Sud, autres langues","South American Indian (Other)",
"inc","indo-aryennes, autres langues","indo-aryennes, autres langues","Indic (Other)",
"ine","indo-européennes, autres langues","indo-européennes, autres langues","Indo-European (Other)",
"ind","indonésien","indonésien","Indonesian","id"
"inh","ingouche","ingouche","Ingush",
"ina","interlingua (langue auxiliaire internationale)","interlingua (langue auxiliaire internationale)","Interlingua (International Auxiliary Language Association)","ia"
"ile","interlingue","interlingue","Interlingue","ie"
"iku","inuktitut","inuktitut","Inuktitut","iu"
"ipk","inupiaq","inupiaq","Inupiaq","ik"
"ira","iraniennes, autres langues","iraniennes, autres langues","Iranian (Other)",
"gle","irlandais","irlandais","Irish","ga"
"sga","irlandais ancien (jusqu'à 900)","irlandais ancien (jusqu'à 900)","Irish, Old (to 900)",
"mga","irlandais moyen (900-1200)","irlandais moyen (900-1200)","Irish, Middle (900-1200)",
"iro","iroquoises, langues (famille)","iroquoises, langues (famille)","Iroquoian languages",
"ice/isl","islandais","islandais","Icelandic","is"
"ita","italien","italien","Italian","it"
"jpn","japonais","japonais","Japanese","ja"
"jav","javanais","javanais","Javanese","jv"
"kac","jingpho","kachin; jingpho","Kachin; Jingpho",
"jrb","judéo-arabe","judéo-arabe","Judeo-Arabic",
"lad","judéo-espagnol","judéo-espagnol","Ladino",
"jpr","judéo-persan","judéo-persan","Judeo-Persian",
"kbd","kabardien","kabardien","Kabardian",
"kab","kabyle","kabyle","Kabyle",
"kac","kachin","kachin; jingpho","Kachin; Jingpho",
"csb","kachoube","kachoube","Kashubian",
"xal","kalmouk","kalmouk; oïrat","Kalmyk; Oirat",
"kam","kamba","kamba","Kamba",
"kan","kannada","kannada","Kannada","kn"
"kau","kanouri","kanouri","Kanuri","kr"
"kaa","karakalpak","karakalpak","Kara-Kalpak",
"krc","karatchai balkar","karatchai balkar","Karachay-Balkar",
"kar","karen, langues","karen, langues","Karen languages",
"car","karib","karib; galibi; carib","Galibi Carib",
"kas","kashmiri","kashmiri","Kashmiri","ks"
"kaw","kawi","kawi","Kawi",
"kaz","kazakh","kazakh","Kazakh","kk"
"kha","khasi","khasi","Khasi",
"khm","khmer central","khmer central","Central Khmer","km"
"khi","khoisan, autres langues","khoisan, autres langues","Khoisan (Other)",
"kho","khotanais","khotanais","Khotanese",
"kik","kikuyu","kikuyu","Kikuyu; Gikuyu","ki"
"kmb","kimbundu","kimbundu","Kimbundu",
"zza","kirdki","zaza; dimili; dimli; kirdki; kirmanjki; zazaki","Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki",
"kir","kirghiz","kirghiz","Kirghiz; Kyrgyz","ky"
"gil","kiribati","kiribati","Gilbertese",
"zza","kirmanjki","zaza; dimili; dimli; kirdki; kirmanjki; zazaki","Zaza; Dimili; Dimli; Kirdki; Kirmanjki; Zazaki",
"tlh","klingon","klingon","Klingon; tlhIngan-Hol",
"kom","kom","kom","Komi","kv"
"kon","kongo","kongo","Kongo","kg"
"kok","konkani","konkani","Konkani",
"kos","kosrae","kosrae","Kosraean",
"kum","koumyk","koumyk","Kumyk",
"kpe","kpellé","kpellé","Kpelle",
"kro","krou, langues","krou, langues","Kru languages",
"kua","kuanyama","kuanyama; kwanyama","Kuanyama; Kwanyama","kj"
"kur","kurde","kurde","Kurdish","ku"
"kru","kurukh","kurukh","Kurukh",
"kut","kutenai","kutenai","Kutenai",
"kua","kwanyama","kuanyama; kwanyama","Kuanyama; Kwanyama","kj"
"lah","lahnda","lahnda","Lahnda",
"lam","lamba","lamba","Lamba",
"sgn","langues des signes","langues des signes","Sign Languages",
"lao","lao","lao","Lao","lo"
"lat","latin","latin","Latin","la"
"lav","letton","letton","Latvian","lv"
"lez","lezghien","lezghien","Lezghian",
"lim","limbourgeois","limbourgeois","Limburgan; Limburger; Limburgish","li"
"lin","lingala","lingala","Lingala","ln"
"lit","lituanien","lituanien","Lithuanian","lt"
"jbo","lojban","lojban","Lojban",
"loz","lozi","lozi","Lozi",
"lub","luba-katanga","luba-katanga","Luba-Katanga","lu"
"lua","luba-lulua","luba-lulua","Luba-Lulua",
"lui","luiseno","luiseno","Luiseno",
"lun","lunda","lunda","Lunda",
"luo","luo (Kenya et Tanzanie)","luo (Kenya et Tanzanie)","Luo (Kenya and Tanzania)",
"lus","Lushai","lushai","Lushai",
"ltz","luxembourgeois","luxembourgeois","Luxembourgish; Letzeburgesch","lb"
"rup","macédo-roumain","aroumain; macédo-roumain","Aromanian; Arumanian; Macedo-Romanian",
"mac/mkd","macédonien","macédonien","Macedonian","mk"
"mad","madourais","madourais","Madurese",
"mag","magahi","magahi","Magahi",
"mai","maithili","maithili","Maithili",
"mak","makassar","makassar","Makasar",
"may/msa","malais","malais","Malay","ms"
"mal","malayalam","malayalam","Malayalam","ml"
"map","malayo-polynésiennes, autres langues","malayo-polynésiennes, autres langues","Austronesian (Other)",
"div","maldivien","maldivien","Divehi; Dhivehi; Maldivian","dv"
"mlg","malgache","malgache","Malagasy","mg"
"mlt","maltais","maltais","Maltese","mt"
"mdr","mandar","mandar","Mandar",
"mnc","mandchou","mandchou","Manchu",
"man","mandingue","mandingue","Mandingo",
"mni","manipuri","manipuri","Manipuri",
"glv","mannois","manx; mannois","Manx","gv"
"mno","manobo, langues","manobo, langues","Manobo languages",
"glv","manx","manx; mannois","Manx","gv"
"mao/mri","maori","maori","Maori","mi"
"rar","maori des îles Cook","rarotonga; maori des îles Cook","Rarotongan; Cook Islands Maori",
"arn","mapuce","mapudungun; mapuche; mapuce","Mapudungun; Mapuche",
"arn","mapuche","mapudungun; mapuche; mapuce","Mapudungun; Mapuche",
"arn","mapudungun","mapudungun; mapuche; mapuce","Mapudungun; Mapuche",
"mar","marathe","marathe","Marathi","mr"
"chm","mari","mari","Mari",
"mah","marshall","marshall","Marshallese","mh"
"mwr","marvari","marvari","Marwari",
"mas","massaï","massaï","Masai",
"myn","maya, langues","maya, langues","Mayan languages",
"men","mendé","mendé","Mende",
"mic","mi'kmaq","mi'kmaq; micmac","Mi'kmaq; Micmac",
"mic","micmac","mi'kmaq; micmac","Mi'kmaq; Micmac",
"min","minangkabau","minangkabau","Minangkabau",
"mwl","mirandais","mirandais","Mirandese",
"moh","mohawk","mohawk","Mohawk",
"mdf","moksa","moksa","Moksha",
"mol","moldave","moldave","Moldavian","mo"
"mkh","môn-khmer, autres langues","môn-khmer, autres langues","Mon-Khmer (Other)",
"lol","mongo","mongo","Mongo",
"mon","mongol","mongol","Mongolian","mn"
"mos","moré","moré","Mossi",
"mun","mounda, langues","mounda, langues","Munda languages",
"mul","multilingue","multilingue","Multiple languages",
"mus","muskogee","muskogee","Creek",
"nqo","n'ko","n'ko","N'Ko",
"nah","nahuatl, langues","nahuatl, langues","Nahuatl languages",
"nap","napolitain","napolitain","Neapolitan",
"nau","nauruan","nauruan","Nauru","na"
"nav","navaho","navaho","Navajo; Navaho","nv"
"nde","ndébélé du Nord","ndébélé du Nord","Ndebele, North; North Ndebele","nd"
"nbl","ndébélé du Sud","ndébélé du Sud","Ndebele, South; South Ndebele","nr"
"ndo","ndonga","ndonga","Ndonga","ng"
"dut/nld","néerlandais","néerlandais; flamand","Dutch; Flemish","nl"
"dum","néerlandais moyen (ca. 1050-1350)","néerlandais moyen (ca. 1050-1350)","Dutch, Middle (ca.1050-1350)",
"new","nepal bhasa","nepal bhasa; newari","Nepal Bhasa; Newari",
"nep","népalais","népalais","Nepali","ne"
"new","newari","nepal bhasa; newari","Nepal Bhasa; Newari",
"nwc","newari classique","newari classique","Classical Newari; Old Newari; Classical Nepal Bhasa",
"nia","nias","nias","Nias",
"nic","nigéro-congolaises, autres langues","nigéro-congolaises, autres langues","Niger-Kordofanian (Other)",
"ssa","nilo-sahariennes, autres langues","nilo-sahariennes, autres langues","Nilo-Saharan (Other)",
"niu","niué","niué","Niuean",
"nog","nogaï","nogaï; nogay","Nogai",
"nog","nogay","nogaï; nogay","Nogai",
"non","norrois, vieux","norrois, vieux","Norse, Old",
"nor","norvégien","norvégien","Norwegian","no"
"nob","norvégien bokmål","norvégien bokmål","Bokmål, Norwegian; Norwegian Bokmål","nb"
"nno","norvégien nynorsk","norvégien nynorsk; nynorsk, norvégien","Norwegian Nynorsk; Nynorsk, Norwegian","nn"
"nub","nubiennes, langues","nubiennes, langues","Nubian languages",
"nym","nyamwezi","nyamwezi","Nyamwezi",
"nya","nyanja","chichewa; chewa; nyanja","Chichewa; Chewa; Nyanja","ny"
"nyn","nyankolé","nyankolé","Nyankole",
"nno","nynorsk, norvégien","norvégien nynorsk; nynorsk, norvégien","Norwegian Nynorsk; Nynorsk, Norwegian","nn"
"nyo","nyoro","nyoro","Nyoro",
"nzi","nzema","nzema","Nzima",
"oci","occitan (après 1500)","occitan (après 1500); provençal","Occitan (post 1500); Provençal","oc"
"xal","oïrat","kalmouk; oïrat","Kalmyk; Oirat",
"oji","ojibwa","ojibwa","Ojibwa","oj"
"ori","oriya","oriya","Oriya","or"
"osa","osage","osage","Osage",
"oss","ossète","ossète","Ossetian; Ossetic","os"
"oto","otomangue, langues","otomangue, langues","Otomian languages",
"udm","oudmourte","oudmourte","Udmurt",
"uga","ougaritique","ougaritique","Ugaritic",
"uig","ouïgour","ouïgour","Uighur; Uyghur","ug"
"urd","ourdou","ourdou","Urdu","ur"
"uzb","ouszbek","ouszbek","Uzbek","uz"
"pus","pachto","pachto","Pushto","ps"
"pal","pahlavi","pahlavi","Pahlavi",
"pau","palau","palau","Palauan",
"pli","pali","pali","Pali","pi"
"pam","pampangan","pampangan","Pampanga",
"pag","pangasinan","pangasinan","Pangasinan",
"pap","papiamento","papiamento","Papiamento",
"paa","papoues, autres langues","papoues, autres langues","Papuan (Other)",
"zxx","pas de contenu linguistique","pas de contenu linguistique","No linguistic content",
"nso","pedi","pedi; sepedi; sotho du Nord","Pedi; Sepedi; Northern Sotho",
"pan","pendjabi","pendjabi","Panjabi; Punjabi","pa"
"per/fas","persan","persan","Persian","fa"
"peo","perse, vieux (ca. 600-400 av. J.-C.)","perse, vieux (ca. 600-400 av. J.-C.)","Persian, Old (ca.600-400 B.C.)",
"ful","peul","peul","Fulah","ff"
"phn","phénicien","phénicien","Phoenician",
"phi","philippines, autres langues","philippines, autres langues","Philippine (Other)",
"fil","pilipino","filipino; pilipino","Filipino; Pilipino",
"pon","pohnpei","pohnpei","Pohnpeian",
"pol","polonais","polonais","Polish","pl"
"por","portugais","portugais","Portuguese","pt"
"pra","prâkrit","prâkrit","Prakrit languages",
"oci","provençal","occitan (après 1500); provençal","Occitan (post 1500); Provençal","oc"
"pro","provençal ancien (jusqu'à 1500)","provençal ancien (jusqu'à 1500)","Provençal, Old (to 1500)",
"que","quechua","quechua","Quechua","qu"
"raj","rajasthani","rajasthani","Rajasthani",
"rap","rapanui","rapanui","Rapanui",
"rar","rarotonga","rarotonga; maori des îles Cook","Rarotongan; Cook Islands Maori",
"qaa-qtz","réservée à l'usage local","réservée à l'usage local","Reserved for local use",
"roh","romanche","romanche","Romansh","rm"
"roa","romanes, autres langues","romanes, autres langues","Romance (Other)",
"rum/ron","roumain","roumain","Romanian","ro"
"run","rundi","rundi","Rundi","rn"
"rus","russe","russe","Russian","ru"
"kin","rwanda","rwanda","Kinyarwanda","rw"
"sal","salish, langues","salish, langues","Salishan languages",
"sam","samaritain","samaritain","Samaritan Aramaic",
"smn","sami d'Inari","sami d'Inari","Inari Sami",
"smj","sami de Lule","sami de Lule","Lule Sami",
"sme","sami du Nord","sami du Nord","Northern Sami","se"
"sma","sami du Sud","sami du Sud","Southern Sami",
"sms","sami skolt","sami skolt","Skolt Sami",
"smi","sami, autres langues","sami, autres langues","Sami languages (Other)",
"smo","samoan","samoan","Samoan","sm"
"sad","sandawe","sandawe","Sandawe",
"sag","sango","sango","Sango","sg"
"san","sanskrit","sanskrit","Sanskrit","sa"
"sat","santal","santal","Santali",
"srd","sarde","sarde","Sardinian","sc"
"sas","sasak","sasak","Sasak",
"nds","saxon, bas","bas allemand; bas saxon; allemand, bas; saxon, bas","Low German; Low Saxon; German, Low; Saxon, Low",
"sel","selkoupe","selkoupe","Selkup",
"sem","sémitiques, autres langues","sémitiques, autres langues","Semitic (Other)",
"nso","sepedi","pedi; sepedi; sotho du Nord","Pedi; Sepedi; Northern Sotho",
"scc/srp","serbe","serbe","Serbian","sr"
"srr","sérère","sérère","Serer",
"sna","shona","shona","Shona","sn"
"scn","sicilien","sicilien","Sicilian",
"sid","sidamo","sidamo","Sidamo",
"snd","sindhi","sindhi","Sindhi","sd"
"sin","singhalais","singhalais","Sinhala; Sinhalese","si"
"sit","sino-tibétaines, autres langues","sino-tibétaines, autres langues","Sino-Tibetan (Other)",
"sio","sioux, langues","sioux, langues","Siouan languages",
"sla","slaves, autres langues","slaves, autres langues","Slavic (Other)",
"chu","slavon d'église","slavon d'église; vieux slave; slavon liturgique; vieux bulgare","Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","cu"
"chu","slavon liturgique","slavon d'église; vieux slave; slavon liturgique; vieux bulgare","Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","cu"
"slo/slk","slovaque","slovaque","Slovak","sk"
"slv","slovène","slovène","Slovenian","sl"
"sog","sogdien","sogdien","Sogdian",
"som","somali","somali","Somali","so"
"son","songhai, langues","songhai, langues","Songhai languages",
"snk","soninké","soninké","Soninke",
"wen","sorabes, langues","sorabes, langues","Sorbian languages",
"nso","sotho du Nord","pedi; sepedi; sotho du Nord","Pedi; Sepedi; Northern Sotho",
"sot","sotho du Sud","sotho du Sud","Sotho, Southern","st"
"sun","soundanais","soundanais","Sundanese","su"
"sus","soussou","soussou","Susu",
"srn","sranan tongo","sranan tongo","Sranan Tongo",
"swe","suédois","suédois","Swedish","sv"
"suk","sukuma","sukuma","Sukuma",
"sux","sumérien","sumérien","Sumerian",
"swa","swahili","swahili","Swahili","sw"
"ssw","swati","swati","Swati","ss"
"syr","syriaque","syriaque","Syriac",
"tgk","tadjik","tadjik","Tajik","tg"
"tgl","tagalog","tagalog","Tagalog","tl"
"tah","tahitien","tahitien","Tahitian","ty"
"tmh","tamacheq","tamacheq","Tamashek",
"tam","tamoul","tamoul","Tamil","ta"
"tat","tatar","tatar","Tatar","tt"
"crh","tatar de Crimé","tatar de Crimé","Crimean Tatar; Crimean Turkish",
"cze/ces","tchèque","tchèque","Czech","cs"
"che","tchétchène","tchétchène","Chechen","ce"
"chv","tchouvache","tchouvache","Chuvash","cv"
"tel","télougou","télougou","Telugu","te"
"tem","temne","temne","Timne",
"ter","tereno","tereno","Tereno",
"tet","tetum","tetum","Tetum",
"tha","thaï","thaï","Thai","th"
"tai","thaïes, autres langues","thaïes, autres langues","Tai (Other)",
"tib/bod","tibétain","tibétain","Tibetan","bo"
"tig","tigré","tigré","Tigre",
"tir","tigrigna","tigrigna","Tigrinya","ti"
"tiv","tiv","tiv","Tiv",
"tli","tlingit","tlingit","Tlingit",
"tpi","tok pisin","tok pisin","Tok Pisin",
"tkl","tokelau","tokelau","Tokelau",
"tog","tonga (Nyasa)","tonga (Nyasa)","Tonga (Nyasa)",
"ton","tongan (Îles Tonga)","tongan (Îles Tonga)","Tonga (Tonga Islands)","to"
"tyv","touva","touva","Tuvinian",
"rom","tsigane","tsigane","Romany",
"tsi","tsimshian","tsimshian","Tsimshian",
"tso","tsonga","tsonga","Tsonga","ts"
"tsn","tswana","tswana","Tswana","tn"
"tum","tumbuka","tumbuka","Tumbuka",
"tup","tupi, langues","tupi, langues","Tupi languages",
"tur","turc","turc","Turkish","tr"
"ota","turc ottoman (1500-1928)","turc ottoman (1500-1928)","Turkish, Ottoman (1500-1928)",
"tuk","turkmène","turkmène","Turkmen","tk"
"tvl","tuvalu","tuvalu","Tuvalu",
"twi","twi","twi","Twi","tw"
"ukr","ukrainien","ukrainien","Ukrainian","uk"
"umb","umbundu","umbundu","Umbundu",
"vai","vaï","vaï","Vai",
"cat","valencien","catalan; valencien","Catalan; Valencian","ca"
"ven","venda","venda","Venda","ve"
"vie","vietnamien","vietnamien","Vietnamese","vi"
"chu","vieux bulgare","slavon d'église; vieux slave; slavon liturgique; vieux bulgare","Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","cu"
"chu","vieux slave","slavon d'église; vieux slave; slavon liturgique; vieux bulgare","Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic","cu"
"vol","volapük","volapük","Volapük","vo"
"vot","vote","vote","Votic",
"wak","wakashennes, langues","wakashennes, langues","Wakashan languages",
"wal","walamo","walamo","Walamo",
